itemonagendaid,GL_rec
7694232,Withhold
7694233,Withhold
7694234,For
8051745,For
8051746,For
7507700,Withhold
7507701,For
7507702,For
7507703,For
7507704,For
7844961,For
7844962,For
7844963,For
7844964,For
8191842,For
8191843,For
8191844,For
8191845,For
8191846,For
8547243,For
8547244,For
8547245,For
8547246,For
8547247,For
8547248,1 Year
8547249,For
8547250,For
8973038,For
8973039,For
8973040,For
8973041,Against
8973042,For
9413529,Withhold
9413530,Withhold
9413531,For
9413532,For
9413533,Against
9413534,For
9413535,For
10943550,For
10943551,For
10943552,For
10943553,For
10943554,Against
10943555,For
10943556,For
11559920,For
11559921,For
11559922,For
11559923,For
11559924,Against
11559925,1 Year
11559926,For
12333712,For
12333713,For
12333714,For
12333715,For
12333716,For
12333717,For
13021817,For
13021818,For
13021819,For
13021820,For
13021821,For
11244746,For
11244747,For
11244748,For
11244749,For
11244750,For
7575575,Withhold
7575576,For
7575577,For
7575578,For
7924752,For
7924753,For
7924754,For
7924755,For
7924756,For
9514216,For
9514217,Withhold
9514218,For
9514219,For
9514220,For
9514221,For
10507043,For
10507044,For
10507045,For
10507046,For
10507047,For
10507048,For
11084285,For
11084286,For
11084287,For
11084288,For
11084289,1 Year
11084290,For
7937551,For
7937552,For
7937553,For
7937554,For
9101544,Withhold
9101545,Withhold
9101546,Withhold
9101547,For
9101548,For
9101549,For
9101550,For
10530681,Withhold
10530682,Withhold
10530683,Withhold
10530684,For
10530685,For
7309675,For
7309684,For
7309676,For
7309677,For
7309678,For
7309679,For
7309680,Withhold
7309681,For
7309682,For
7309683,Withhold
7309685,For
7309686,For
7309687,For
7309688,For
7309689,For
7309690,For
7309691,For
7309692,For
7309693,For
7309694,For
7309695,For
7620037,For
7620038,For
7620039,For
7620040,Against
7620041,For
7620042,Against
7620043,For
7620044,For
7620045,Against
7620046,For
7620047,For
7620048,For
7620049,For
7620050,For
7620051,For
7620052,For
7620053,For
7620054,For
7620055,For
7971895,For
7971896,For
7971897,For
7971898,For
7971899,Against
7971900,For
7971901,For
7971902,For
7971903,For
7971904,For
7971905,For
7971906,For
7971907,For
7971908,For
7971909,For
7971910,For
7971911,For
7971912,For
8306104,For
8306105,Against
8306106,For
8306107,For
8306108,Against
8306109,For
8306110,For
8306111,For
8306112,For
8306113,For
8306114,For
8306115,For
8306116,For
8306117,For
8306118,For
8306119,For
8306120,1 Year
8306121,For
8691467,For
8691468,For
8691469,For
8691470,Against
8691471,For
8691472,For
8691473,For
8691474,For
8691475,For
8691476,For
8691477,For
8691478,For
8691479,For
8691480,Against
8691481,For
8691482,For
8691483,For
8691484,For
9148445,For
9148446,For
9148447,For
9148448,For
9148463,Against
9148449,For
9148450,For
9148451,For
9148452,For
9148453,For
9148454,For
9148456,For
9148457,For
9148458,For
9148459,For
9148460,For
9578868,For
9578869,For
9578870,For
9578871,For
9578872,Against
9578873,For
9578874,For
9578875,For
9578876,For
9578877,For
9578878,For
9578879,For
9578880,For
9578881,For
9578882,For
10042702,For
10042703,For
10042704,For
10042705,Against
10042706,For
10042707,For
10042708,For
10042709,For
10042710,For
10042711,For
10042712,For
10042713,For
10042714,For
10042715,For
10042716,For
10582622,For
10582623,For
10582624,For
10582625,For
10582626,For
10582627,For
10582628,For
10582629,For
10582630,For
10582631,For
10582632,For
10582633,For
10582634,For
10582635,For
10582636,For
11165691,For
11165692,For
11165693,For
11165694,For
11165695,For
11165696,For
11165697,For
11165698,For
11165699,For
11165700,For
11165701,For
11165702,For
11165703,For
11165704,For
11165705,For
11165706,1 Year
11165707,For
11165708,For
11165709,For
11906000,For
11906001,For
11906002,For
11906003,For
11906004,For
11906005,For
11906006,For
11906007,For
11906008,For
11906009,For
11906010,For
11906011,For
11906012,For
12621603,For
12621604,For
12621605,For
12621606,For
12621607,For
12621608,For
12621609,For
12621610,For
12621611,For
12621612,For
12621613,For
12621614,For
12621615,For
13294904,For
13294905,For
13294906,For
13294907,For
13294908,For
13294909,For
13294910,For
13294911,For
13294912,For
13294913,For
13294914,For
13294915,For
13294916,For
13996661,For
13996662,For
13996663,For
13996664,For
13996665,For
13996666,For
13996667,For
13996668,For
13996669,For
13996670,For
13996671,For
13996672,For
13996673,For
7308111,For
7308112,Withhold
7308113,For
7308114,For
7308115,For
7308116,For
7625705,For
7625706,For
7625707,For
7625708,For
7978528,Withhold
7978529,For
7978530,For
7978531,For
7978532,For
8318467,For
8318468,For
8318469,For
8318470,For
8318492,For
8318493,For
8318494,For
8318471,For
8318495,For
8318496,1 Year
8318497,For
8702395,For
8702396,For
8702397,For
8702398,For
8702399,For
8702400,For
8702401,For
8702402,For
8702403,For
8702404,For
8702405,For
8702406,For
9157632,For
9157633,For
9157634,For
9157636,For
9157637,For
9157638,For
9157639,For
9157641,For
9157642,For
9157685,For
9157643,For
10621039,For
10621040,For
10621041,For
10621042,For
10621043,For
10621044,For
10621045,For
10621046,For
10621047,For
10621048,For
10621049,For
10621050,For
10621051,For
11202569,For
11202570,For
11202571,For
11202572,For
11202573,For
11202574,For
11202575,For
11202576,For
11202577,For
11202578,1 Year
11202579,For
11202580,For
11911914,For
11911915,For
11911916,For
11911917,For
11911918,For
11911919,For
11911920,For
11911921,For
11911922,For
11911923,For
11911924,For
11911925,For
12626495,For
12626496,For
12626497,For
12626498,For
12626499,For
12626500,For
12626501,For
12626502,For
12626503,For
12626504,For
12626505,Against
12626506,For
13325286,For
13325287,For
13325295,For
13325288,For
13325289,For
13325290,For
13325291,For
13325292,For
13325293,For
13325294,For
13325296,Against
13325297,For
14005666,For
14005667,For
14005668,For
14005669,For
14005670,For
14005671,For
14005672,For
14005673,For
14005674,For
14005675,For
14005676,For
14005677,For
7296642,For
7296643,For
7296644,Withhold
7296645,For
7296646,For
7296647,For
7296648,Withhold
7296649,Withhold
7296650,For
7296651,For
7593561,For
7593570,For
7593562,For
7593563,For
7593564,For
7593565,For
7593566,For
7593567,For
7593568,For
7593569,For
7593571,For
7593572,For
7958346,For
7958354,For
7958347,For
7958348,For
7958349,For
7958350,For
7958351,For
7958352,For
7958353,Withhold
7958356,For
7958357,For
7958358,For
8286213,For
8286222,For
8286214,For
8286215,For
8286216,For
8286217,For
8286218,For
8286219,For
8286220,For
8286221,For
8286269,For
8286223,For
8286224,For
8286225,1 Year
8648603,For
8648612,For
8648604,For
8648605,For
8648606,For
8648607,For
8648608,For
8648609,For
8648610,For
8648611,For
8648613,For
8648614,For
8648615,For
9113695,For
9113696,Against
9113697,For
9113698,For
9113699,For
9113700,For
9113701,For
9113702,For
9113703,For
9113704,Against
9113705,For
9113706,For
9113707,For
9542396,For
9542397,For
9542398,For
9542399,For
9542400,For
9542401,For
9542402,For
9542403,For
9542404,For
9542405,For
9542406,Against
9542407,For
9542408,For
9542409,For
10001203,For
10001204,For
10001205,For
10001206,For
10001207,For
10001208,For
10001209,For
10001210,For
10001211,For
10001212,For
10001273,For
10001274,For
10001275,For
10001276,For
10001277,For
10001278,Against
10001279,Against
10001280,For
10554368,For
10554369,For
10554370,For
10554371,For
10554372,For
10554373,For
10554374,For
10554375,For
10554376,For
10554377,For
10554378,For
10554379,For
10554428,For
11140761,For
11140762,For
11140763,For
11140764,For
11140765,For
11140766,For
11140767,For
11140768,For
11140769,For
11140788,For
11140789,1 Year
11140790,For
11140791,Against
11140820,For
12568682,For
12568683,For
12568684,For
12568685,For
12568686,For
12568687,For
12568688,For
12568689,For
12568690,For
12568691,For
12568692,For
12568693,For
13262447,For
13262448,For
13262449,For
13262450,For
13262451,For
13262452,For
13262453,For
13262454,For
13262455,For
13262456,For
13262457,For
13262458,For
13262465,Against
13951696,For
13951697,For
13951698,For
13951699,For
13951700,For
13951701,For
13951702,For
13951703,For
13951704,For
13951705,For
13951706,For
13951707,For
13951708,Against
7325001,For
7325010,For
7325002,For
7325003,For
7325004,For
7325005,For
7325006,For
7325007,For
7325008,For
7325009,For
7325011,For
7325012,For
7325013,For
7673948,For
7673957,For
7673949,For
7673950,For
7673951,For
7673952,For
7673953,For
7673954,For
7673955,For
7673956,For
7673958,For
8029347,Withhold
8029356,Withhold
8029348,For
8029349,For
8029350,For
8029351,For
8029352,For
8029353,Withhold
8029354,For
8029355,For
8029357,For
8029358,For
8029359,For
8029360,Against
8373058,Against
8373059,Against
8373060,For
8373061,For
8373062,Against
8373063,Against
8373064,Against
8373065,For
8373066,For
8373067,For
8373068,For
8373069,Against
8373070,1 Year
8753174,Against
8753175,Against
8753176,For
8753177,For
8753178,Against
8753179,Against
8753180,Against
8753181,For
8753182,For
8753183,For
8753184,For
8753185,Against
11270641,For
11270642,For
11270643,For
11270644,For
11270645,For
11270646,For
11270647,For
11270648,For
11270649,For
11270650,For
11270651,For
11270697,For
11270698,For
11270699,1 Year
11270700,For
11986456,For
11986457,For
11986458,For
11986459,For
11986460,For
11986461,For
11986462,For
11986463,For
11986464,For
11986465,For
11986466,For
11986467,For
11986468,For
12713618,For
12713619,For
12713620,For
12713621,For
12713622,For
12713623,For
12713624,For
12713625,For
12713626,For
12713627,For
12713628,For
12713629,For
12713630,For
9695164,For
9695165,For
9695166,For
9695167,For
9695168,For
9695169,For
9695170,For
9695171,For
9695172,For
9695173,Against
9695174,For
9695175,For
9695176,For
10162128,For
10162129,For
10162130,For
10162131,For
10162132,For
10162133,For
10162134,For
10162135,For
10162136,For
10162137,For
10162138,For
10162139,For
10162140,For
11367516,For
11367517,For
11367518,For
11367519,For
11367520,For
11367521,For
11367522,For
11367523,For
11367524,For
11367525,For
11367526,For
11367527,For
11367528,For
11367529,For
11367530,For
11367531,1 Year
11367532,For
12109153,For
12109154,For
12109155,For
12109156,For
12109157,For
12109158,For
12109159,For
12109160,For
12109161,For
12109162,For
12109163,For
12109164,For
12109165,For
12109168,For
12109169,Abstain
12109183,For
12810260,For
12810261,For
12810262,For
12810263,For
12810264,For
12810265,For
12810266,For
12810267,For
12810268,For
12810269,For
12810270,For
12810271,For
12810272,For
13469031,For
13469032,For
13469033,For
13469034,For
13469035,For
13469036,For
13469037,For
13469038,For
13469039,For
13469040,For
13469041,For
13469042,Against
13469043,For
14209776,For
14209777,For
14209778,For
14209779,For
14209780,For
14209781,For
14209782,For
14209783,For
14209784,For
14209785,For
14209786,For
14209787,For
14209807,For
14209808,Against
14209809,For
7486966,For
7486967,Against
7486968,Against
7486969,Against
7486970,For
7486971,For
7486972,For
7486973,For
7486974,For
7486975,For
7486976,Against
7830219,Against
7830220,For
7830221,For
7830222,For
7830223,For
7830224,For
7830225,For
7830226,Against
7830227,Against
7830228,Against
7830229,Against
8142788,Against
8142789,For
8142790,For
8142791,For
8142792,For
8142793,For
8142794,For
8142795,Against
8142796,Against
8142797,Against
8142798,Against
8142801,Against
8504010,For
8504011,For
8504013,For
8504014,For
8504015,For
8504016,For
8504017,For
8504018,For
8504022,For
8504023,For
8504019,Against
8504020,For
8504021,1 Year
8504024,For
8504025,For
8910278,For
8910279,For
8910280,For
8910281,For
8910282,For
8910283,For
8910284,For
8910285,For
8910286,For
8910287,For
8910288,For
8910289,Against
8910290,For
8910291,For
9358818,For
9358819,For
9358820,For
9358821,For
9358822,For
9358823,For
9358824,For
9358825,For
9358826,For
9358827,For
9358828,For
9358836,For
9358837,For
9358838,Against
9807785,For
9807786,For
9807787,For
9807788,For
9807789,For
9807790,For
9807791,For
9807792,For
9807793,For
9807794,For
9807795,For
9807796,For
9807797,For
10302395,For
10302396,For
10302397,For
10302398,For
10302399,For
10302400,For
10302401,For
10302402,Against
10302403,For
10302404,For
10302405,For
10302406,For
10302407,For
10302408,For
10876723,For
10876724,For
10876725,For
10876726,For
10876727,For
10876728,For
10876729,For
10876730,For
10876731,For
10876732,For
10876733,For
10876734,For
10876735,For
10876745,For
10876746,Against
11498761,For
11498762,For
11498763,For
11498764,For
11498765,For
11498766,For
11498767,For
11498768,For
11498769,For
11498770,For
11498771,For
11498772,For
11498773,For
11498774,1 Year
11498775,For
12267164,For
12267165,For
12267166,For
12267167,For
12267168,For
12267169,For
12267170,For
12267171,For
12267172,For
12267173,For
12267174,For
12267175,For
8137849,Withhold
8137850,Withhold
8137851,For
8137852,For
8137853,For
8490763,Withhold
8490764,For
8490765,For
8490766,For
8490767,For
8490768,1 Year
8921132,For
8921133,For
8921134,For
8921135,For
8921136,For
9348116,For
9348117,Withhold
9348118,For
9348119,For
9348120,For
9348121,For
9348122,For
10282203,For
10282204,For
10282205,For
10282206,For
11490875,For
11490876,For
11490877,For
11490878,For
11490879,For
11490880,For
11490881,1 Year
12212437,For
12212438,For
12212439,For
12212440,For
8364425,For
8364426,For
8364427,For
8364428,For
8364429,For
8364430,1 Year
8752242,For
8752243,For
8752244,For
8752245,For
9199762,Withhold
9199763,Withhold
9199764,For
9199765,For
9199766,Against
9738350,For
9738351,For
9738352,For
9738353,For
9738354,For
10109136,For
10109137,For
10109138,For
10109139,For
10109140,For
10109141,For
10109142,For
10109143,Against
10109144,For
10109145,For
10645553,For
10645554,For
10645555,For
10645556,For
10645557,For
10645558,For
10645559,For
10645560,For
10645561,For
10645562,For
10645563,For
10645564,For
11176437,For
11176438,For
11176439,For
11176440,For
11176441,For
11176442,For
11176443,For
11176444,For
11176445,For
11176446,For
11176447,1 Year
11176448,For
11935921,For
11935922,For
11935923,For
11935924,For
11935925,For
11935926,For
11935927,For
11935928,For
11935929,For
11935930,For
11935931,For
11935932,For
12644153,For
12644154,For
12644155,For
12644156,For
12644157,For
12644158,For
12644159,For
12644160,For
12644161,Against
12644162,For
12644163,For
13519242,For
13519243,For
13519244,For
13519245,For
13519246,For
13519247,For
13519248,For
13519249,For
13519250,For
13519251,For
